WEEK,MOVE1,MOVE2,MOVE3,MOVE4,MOVE5,MOVE6,MOVE7,NSALE1,NSALE2,NSALE3,NSALE4,NSALE5,NSALE6,NSALE7,LPRICE1,LPRICE2,LPRICE3,LPRICE4,LPRICE5,LPRICE6,LPRICE7,LWHPRIC1,LWHPRIC2,LWHPRIC3,LWHPRIC4,LWHPRIC5,LWHPRIC6,LWHPRIC7,FULLCUST
1,20347,7152,2722,6795,2161,617,7940,0,0,0,0,0,0,0,-0.090138569,-0.122673649,0.5755584775,-0.115039225,0.4568242608,1.2242972776,-0.206610346,-0.510452089,-0.505078052,0.2080470765,-0.496614141,0.120412492,1.0162852456,-0.600707058,1744126.375
2,44351,30335,2598,5483,1981,515,4336,0,0,0,0,0,0,0,-0.283314594,-0.287682072,0.573771725,-0.11773128,0.4544686983,1.2237643832,-0.208950487,-0.510452622,-0.50993699,0.3618706351,-0.49679755,0.120414134,1.0162870403,-0.600994568,1861445
3,25177,9114,2628,14880,2750,565,5619,0,0,0,0,0,0,0,-0.283481741,-0.12441308,0.5724700192,-0.251293306,0.4536204996,1.2230939009,-0.210267664,-0.510450442,-0.53301879,0.3618717255,-0.496517712,0.1204147253,1.0166567568,-0.601231444,1783348.75
4,11032,10973,2680,9827,4104,591,24322,0,0,0,0.2298545285,1,0,1,-0.084545216,-0.287682072,0.5737890815,-0.251526918,0.3629118495,1.2229763013,-0.376196313,-0.510447411,-0.532998343,0.3618706206,-0.49673228,0.1204169335,1.0166548147,-0.64792288,1831941.625
5,77269,4649,2592,8159,3960,550,4031,1,0,0,0,1,0,0,-0.371063681,-0.124420994,0.5692096404,-0.118471461,0.3606222703,1.2206562527,-0.209242994,-0.510420075,-0.537744811,0.3618744564,-0.496783658,0.1204180682,1.0166573287,-0.640591324,1818942.625
6,9495,5286,2488,17778,3077,524,5490,0,0,0,1,0,0,0,-0.082918502,-0.117209106,0.5721063018,-0.277990444,0.3630180739,1.2231508205,-0.203040277,-0.510445553,-0.537736427,0.3660392304,-0.496717309,0.0188416933,1.0203193757,-0.640479878,1742907
7,9162,6252,2688,18943,1998,548,6386,0,0,0,0.2308907634,0,0,0,-0.083536826,-0.11895008,0.5720618955,-0.278133537,0.452833732,1.2224807799,-0.217874067,-0.510443725,-0.537735318,0.3660392574,-0.496705861,0.0188388561,1.020319771,-0.653226392,1893556
8,53279,5951,2878,10053,2076,640,5900,0,0,0,1,0,0,0,-0.287682072,-0.115950712,0.5718856541,-0.278057088,0.452783194,1.2226460564,-0.21320336,-0.510428809,-0.537721008,0.3589775485,-0.496703047,0.0149330831,1.0144862212,-0.653262729,1840299
9,11136,7344,2798,9442,2192,611,11309,0,0,0,0,0,0,0,-0.086621789,-0.118996882,0.5715131109,-0.114624855,0.4522040232,1.221642651,-0.218473148,-0.510447305,-0.53772623,0.3590407989,-0.496749839,0.014933265,1.014486927,-0.653228041,1734400
10,9127,7008,2996,12497,2088,599,13349,0,0,0,0.2276669524,0,0,1,-0.088991944,-0.123284151,0.5734793812,-0.150006063,0.4538410281,1.2230133145,-0.299223261,-0.51045339,-0.537718875,0.3590579354,-0.496794347,0.0139067956,1.0144858368,-0.65324672,2136443
